timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775579918586,260,GET /api/load/storage-locations,200,,Lasttest 1-46,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,259,0,0
1775579918586,266,GET /api/load/goods-receipts,200,,Lasttest 1-44,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,265,0,0
1775579918618,245,GET /api/load/storage-locations,200,,Lasttest 1-76,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,245,0,0
1775579918570,293,GET /api/load/articles,200,,Lasttest 1-77,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,293,0,0
1775579918637,231,GET /api/load/kommissionen,200,,Lasttest 1-72,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,231,0,0
1775579918618,258,GET /api/load/storage-locations,200,,Lasttest 1-88,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,257,0,0
1775579918621,258,GET /api/load/goods-receipts,200,,Lasttest 1-49,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,257,0,0
1775579918636,251,GET /api/load/storage-locations,200,,Lasttest 1-69,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,251,0,0
1775579918618,275,GET /api/load/articles,200,,Lasttest 1-40,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,275,0,0
1775579918618,278,GET /api/load/articles,200,,Lasttest 1-82,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,278,0,0
1775579918654,250,GET /api/load/goods-receipts,200,,Lasttest 1-19,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,250,0,0
1775579918637,271,GET /api/load/articles,200,,Lasttest 1-9,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,271,0,0
1775579918654,254,GET /api/load/storage-locations,200,,Lasttest 1-73,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,254,0,0
1775579918654,257,GET /api/load/goods-receipts,200,,Lasttest 1-28,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,257,0,0
1775579918636,277,GET /api/load/articles,200,,Lasttest 1-20,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,277,0,0
1775579918654,268,GET /api/load/goods-receipts,200,,Lasttest 1-25,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,267,0,0
1775579918654,268,GET /api/load/storage-locations,200,,Lasttest 1-100,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,267,0,0
1775579918670,262,GET /api/load/goods-receipts,200,,Lasttest 1-98,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,262,0,0
1775579918719,214,GET /api/load/kommissionen,200,,Lasttest 1-15,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,214,0,0
1775579918686,256,GET /api/load/storage-locations,200,,Lasttest 1-16,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,256,0,0
1775579918686,260,GET /api/load/goods-receipts,200,,Lasttest 1-18,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,259,0,0
1775579918521,425,GET /api/load/kommissionen,200,,Lasttest 1-84,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,424,0,0
1775579918704,244,GET /api/load/goods-receipts,200,,Lasttest 1-1,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,244,0,0
1775579918689,264,GET /api/load/storage-locations,200,,Lasttest 1-78,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,263,0,0
1775579918719,238,GET /api/load/goods-receipts,200,,Lasttest 1-68,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,235,0,0
1775579918670,287,GET /api/load/articles,200,,Lasttest 1-63,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,284,0,0
1775579918520,464,GET /api/load/articles,200,,Lasttest 1-94,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,463,0,0
